MHI_2022,LSOA22
0.081998185,E01000868
-0.016191634,E01000869
0.397335972,E01000870
-0.716980799,E01000871
-0.374681643,E01000872
-0.765815966,E01000873
-0.71505571,E01000874
-0.247471669,E01000875
0.006369412,E01000876
-0.445662508,E01000877
-0.860182294,E01000878
-0.756159425,E01000879
-0.593917859,E01000880
-0.746079076,E01000881
-0.955095047,E01000882
-0.806924427,E01000883
-0.838037413,E01000884
-0.844946518,E01000885
-0.42253901,E01000886
-0.431925226,E01000887
-0.27516951,E01000888
0.39538738,E01000889
0.599921555,E01000890
0.987560007,E01000891
-0.169434082,E01000892
-0.725707319,E01000893
-0.864090291,E01000894
-0.381808574,E01000895
-0.84677947,E01000896
-1.025145035,E01000897
-0.065242271,E01000898
-0.958012775,E01000899
0.252193773,E01000900
0.181284881,E01000901
1.692294619,E01000902
-0.023427432,E01000903
0.288860929,E01000904
0.779363655,E01000905
-0.741024489,E01000906
0.473711863,E01000907
0.098916106,E01000908
-0.272534155,E01000909
-0.593522497,E01000910
-0.02518296,E01000911
0.336968775,E01000912
-0.154404589,E01000913
-0.727171974,E01000914
-0.561144985,E01000915
-0.441082727,E01000916
-0.182911512,E01000917
-0.567980478,E01000918
-0.537315102,E01000919
-0.724153718,E01000920
-0.258988083,E01000921
0.301205179,E01000922
-0.057501038,E01000923
-0.247724967,E01000924
0.281306861,E01000925
-0.19223723,E01000926
0.040850155,E01000927
0.066135158,E01000928
-0.12804126,E01000929
0.026383302,E01000930
-0.119317803,E01000931
-0.083969225,E01000932
-0.013775101,E01000933
-0.180859268,E01000934
-0.18084654,E01000935
-0.899667247,E01035712
-1.291931616,E01000937
-0.246105444,E01000938
-0.078392597,E01000939
-0.713673491,E01035712
0.229747123,E01000941
-1.017449912,E01000942
-0.578094004,E01000943
-0.342448349,E01000944
0.004931588,E01035710
-0.7021849,E01000946
0.157833907,E01000947
-0.033700922,E01000948
0.053500998,E01000949
-0.246341279,E01035710
-0.06026149,E01000951
0.00582844,E01000952
-0.248406814,E01035708
0.132714666,E01000954
0.041603909,E01000955
-0.199109548,E01000956
-0.19785625,E01000957
-0.246863931,E01000958
0.019037111,E01000959
-0.716392882,E01000960
-0.437081915,E01000961
-0.795004361,E01000962
-0.574854173,E01000963
-0.147456786,E01000964
-0.630164371,E01000965
-0.879229994,E01000966
-0.969953576,E01000967
-0.336956351,E01000968
-0.617022112,E01000969
-0.360148525,E01000970
-0.88670627,E01000971
-0.131326151,E01000972
-0.50687367,E01000973
-0.031157008,E01000974
-0.535070389,E01000975
-0.516030679,E01000976
0.176147534,E01000977
-0.479097438,E01000978
-0.788342881,E01000979
-0.331974311,E01000980
-0.459744814,E01000981
-0.841519797,E01000982
-0.422287338,E01000983
0.212336044,E01000984
-0.529213569,E01000985
-0.385115809,E01000986
-0.213924321,E01000987
-0.581206592,E01000989
0.053511841,E01000990
-0.225426419,E01000991
-0.121517954,E01000992
-0.452213391,E01000993
-0.841667335,E01000994
-0.402629798,E01000995
-0.64837304,E01000996
-0.363705476,E01000997
-0.726706066,E01000998
-0.907209618,E01000999
-0.440312109,E01001000
-0.364750534,E01001001
-0.354046248,E01001002
-0.810859376,E01001003
-0.928171876,E01001004
-0.961183434,E01001005
-0.733276355,E01001006
-0.952575233,E01001007
-0.913233751,E01001008
-0.52369932,E01001009
-0.505179546,E01001010
-0.488857856,E01001011
-0.356385134,E01001012
-0.318761094,E01001013
-0.635481457,E01034145
-0.084922591,E01001015
0.178464954,E01001016
0.265049575,E01001017
0.117944852,E01001018
0.069714609,E01001019
0.037453551,E01001020
0.904694147,E01001021
0.181361679,E01001022
0.096119079,E01001023
-0.3152778,E01001024
-0.5124122,E01001025
-0.345189528,E01001026
-0.459015565,E01001027
-0.058143274,E01001028
0.16253407,E01001029
-0.763323188,E01001030
-0.606451135,E01001031
0.604731545,E01001032
-0.219637085,E01001033
-0.650397346,E01001034
-0.020907068,E01001035
-0.48845207,E01001036
-0.221054338,E01001037
-0.735433247,E01001038
-0.647927168,E01001039
-0.752969322,E01001040
-0.597910633,E01001041
-0.53847573,E01001042
-0.822740013,E01034150
-0.602917088,E01001044
-0.423119539,E01034147
-1.102765285,E01001046
-0.482157702,E01001047
-0.506412468,E01034143
-0.531639239,E01001049
-0.210197456,E01001050
0.381615935,E01001051
0.597067773,E01001052
0.427550621,E01001053
0.160410922,E01001054
0.794216384,E01001055
0.527289807,E01001056
-0.102488888,E01001057
-0.511456782,E01001058
-0.25748252,E01001059
-0.257616501,E01001060
-0.304254857,E01001061
0.458603039,E01001062
-0.504078968,E01001063
-0.256997178,E01001064
-0.122995015,E01001065
0.204467547,E01001066
-0.417054194,E01001067
-0.065196798,E01001068
0.593670554,E01001069
-0.369356741,E01001070
0.142357136,E01001071
0.46878318,E01001072
-0.49724637,E01001073
-0.353821573,E01001074
-0.285779181,E01001075
0.041532058,E01001076
0.048956282,E01001077
0.406461092,E01001078
0.607568959,E01001079
0.874915854,E01001080
0.236751689,E01001081
0.025070304,E01001082
-0.824373696,E01001083
-0.49767247,E01001084
-0.797510949,E01001085
-0.197477738,E01001086
-0.2656076,E01001087
-0.919947893,E01001088
-0.47396847,E01001089
-1.129455584,E01001090
-1.064505049,E01001091
0.8149094,E01001092
-0.515424329,E01001093
-0.025154908,E01001094
-0.701598932,E01001095
-0.520628177,E01001096
-0.09132044,E01001097
-0.53999344,E01001098
-0.461026205,E01001099
-0.756150787,E01001100
-0.634703491,E01001101
-0.005770433,E01001102
-0.18654527,E01001103
-0.38977108,E01001104
0.508797802,E01001105
0.383337635,E01001106
-0.285467269,E01001107
-0.555543175,E01001108
-0.220429222,E01001109
0.269380104,E01001110
-0.44300358,E01001111
0.042252208,E01001112
-0.788510507,E01001113
-0.49069929,E01001114
0.191704727,E01001115
0.080726646,E01001116
-0.676645645,E01034139
-0.171743368,E01001118
0.028056599,E01001119
-0.451104405,E01001120
-0.390250041,E01001121
-0.545112768,E01001122
-0.429128259,E01001123
-0.145007066,E01001124
-0.173915115,E01001125
0.027210869,E01001126
-0.824805533,E01001127
-0.118812018,E01001128
-0.511024096,E01001129
-0.322709135,E01001130
-0.352595629,E01001131
-0.131492381,E01001132
-0.49592647,E01001133
-0.843790122,E01001134
-0.249882241,E01001135
-0.315314839,E01001136
0.195704684,E01001137
-0.356486668,E01001138
-0.753109339,E01001139
-0.234417768,E01001140
0.060078471,E01001141
-0.192957645,E01001142
-0.414899288,E01001143
